bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.07,0.03,0.12,0.0,0.0,0.0,1.1514285714285712,1.878571428571429,0
0.07,0.005,0.005,0.0,0.06345104641384548,0.06345104641384548,0.26820224719101127,2.761797752808989,0
0.585,0.015,0.16,0.06345104641384548,0.0,0.06345104641384548,0.8596551724137931,3.8896551724137933,2
0.04,0.015,0.03,0.0,0.0,0.0,2.5175,0.5125000000000002,0
0.035,0.015,0.02,0.0,0.0,0.0,2.5175,0.5125000000000002,0
0.04,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.03,0.015,0.07,0.0,0.0,0.0,1.036896551724138,1.9931034482758623,0
0.035,0.01,0.02,0.0,0.0,0.0,2.963333333333334,0.06666666666666643,0
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.01,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.005,0.0,0.0,0.0,0.0,3.676153846153846,0.6461538461538456,0
0.025,0.0,0.02,0.0,0.0,0.0,0.640810810810811,2.389189189189189,0
0.04,0.01,0.03,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.04,0.015,0.03,0.0,0.0,0.0,2.5175,0.5125000000000002,0
0.035,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.735,0.18,0.03,0.7337501102023655,0.0,0.7337501102023655,2.2003703703703703,0.8296296296296299,2
0.15,0.005,0.015,0.045395745171440974,0.12566587660047743,0.08027013142903645,0.22869281045751633,2.801307189542484,1
0.95,0.045,0.225,0.045395745171440974,0.10513690312703451,0.15053264829847549,3.136306306306307,0.10630630630630655,2
0.04,0.015,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.11,0.01,0.02,0.10513695610894097,0.0,0.10513695610894097,1.0300000000000002,2.0,0
0.04,0.015,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.025,0.005,0.015,0.0,0.0,0.0,0.8010144927536231,2.228985507246377,0
0.03,0.015,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.035,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.04,0.015,0.03,0.0,0.0,0.0,2.5175,0.5125000000000002,0
0.075,0.03,0.125,0.0,0.0,0.0,1.2663636363636366,1.7636363636363637,0
0.08,0.005,0.025,0.0,0.06345104641384548,0.06345104641384548,0.2782758620689654,2.751724137931035,0
0.57,0.02,0.16,0.06345104641384548,0.24223785400390624,0.30568890041775176,1.0499999999999998,4.08,2
0.03,0.01,0.01,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.015,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.03,0.0,0.025,0.0,0.0,0.0,2.765483870967742,0.2645161290322582,0
0.035,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.16,0.01,0.005,0.07044652303059896,0.12566587660047743,0.05521935356987847,0.20414965986394584,2.8258503401360544,1
0.875,0.05,0.215,0.07044652303059896,0.0,0.07044652303059896,3.3252380952380953,0.2952380952380951,2
0.025,0.01,0.04,0.09033448961046008,0.09033448961046008,0.0,1.9663636363636368,1.0636363636363635,1
0.13,0.01,0.0,0.07044652303059896,0.10513695610894097,0.03469043307834201,0.10536231884057967,2.9246376811594206,1
0.795,0.025,0.21,0.07044652303059896,0.0,0.07044652303059896,3.371666666666667,0.3416666666666668,2
0.035,0.02,0.085,0.06345104111565483,0.0,0.06345104111565483,1.0756140350877192,1.954385964912281,0
0.04,0.01,0.05,0.0,0.0,0.0,1.1778260869565216,1.8521739130434787,0
0.04,0.0,0.005,0.0,0.0,0.0,4.047391304347826,1.017391304347826,1
0.0,0.0,0.035,0.0,0.0,0.0,1.2555319148936173,1.774468085106383,0
0.045,0.005,0.0,0.0,0.0,0.0,4.466363636363637,1.4363636363636365,1
0.035,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.0,0.01,0.065,0.0,0.0,0.0,1.5741860465116284,1.4558139534883718,0
0.045,0.015,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.015,0.03,0.0,0.0,0.0,2.5175,0.5125000000000002,0
0.07,0.03,0.125,0.0,0.0,0.0,1.2300000000000004,1.7999999999999998,0
0.08,0.005,0.01,0.0,0.07916683620876735,0.07916683620876735,0.23909090909090924,2.790909090909091,0
0.58,0.02,0.17,0.07916683620876735,0.29516722361246744,0.3743340598212348,1.1315384615384616,4.161538461538462,2
0.025,0.01,0.005,0.0,0.0,0.0,0.8300000000000001,2.2,0
0.035,0.01,0.07,0.0,0.0,0.0,0.7675000000000001,2.2625,0
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.01,0.015,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.035,0.01,0.02,0.0,0.0,0.0,2.300588235294118,0.7294117647058824,0
0.05,0.005,0.005,0.0,0.0,0.0,4.5442857142857145,1.5142857142857142,1
0.075,0.025,0.125,0.0,0.0,0.0,1.2300000000000004,1.7999999999999998,0
0.075,0.005,0.005,0.0,0.07916683620876735,0.07916683620876735,0.20078651685393245,2.829213483146068,0
0.57,0.02,0.175,0.07916683620876735,0.15595827102661133,0.2351251072353787,1.17,4.2,2
0.035,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.03,0.01,0.04,0.0,0.0,0.0,0.4878947368421054,2.542105263157895,0
0.045,0.01,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.005,0.015,0.09,0.10513695610894097,0.0,0.10513695610894097,1.371666666666667,1.6583333333333332,0
0.04,0.01,0.02,0.0,0.0,0.0,2.963333333333334,0.06666666666666643,0
0.03,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.015,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.025,0.005,0.025,0.0,0.0,0.0,0.693013698630137,2.3369863013698633,0
0.045,0.01,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.005,0.015,0.0,0.0,0.0,2.765483870967742,0.2645161290322582,0
0.05,0.005,0.015,0.0,0.0,0.0,4.221304347826087,1.1913043478260867,0
0.075,0.03,0.12,0.0,0.0,0.0,1.2228571428571433,1.807142857142857,0
0.015,0.015,0.06,0.0,0.0,0.0,0.540526315789474,2.4894736842105263,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.03,0.01,0.015,0.0,0.0,0.0,0.9084313725490194,2.121568627450981,0
0.04,0.01,0.0,0.0,0.0,0.0,4.375454545454546,1.3454545454545457,1
0.045,0.01,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.04,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.175,0.035,0.17,0.0,0.0,0.0,2.1514285714285712,0.878571428571429,2
0.035,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.015,0.01,0.01,0.05771586100260417,0.0,0.05771586100260417,0.565294117647059,2.4647058823529413,0
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.015,0.025,0.0,0.0,0.0,2.83,0.20000000000000018,0
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.015,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.025,0.0,0.03,0.0,0.0,0.0,0.7744444444444447,2.2555555555555555,0
0.08,0.005,0.015,0.0,0.0,0.0,1.120909090909091,1.9090909090909092,1
0.025,0.0,0.03,0.0,0.0,0.0,0.8585714285714285,2.1714285714285717,0
